homeTeam,homeTeam,date,time,location,homeTeamScore,awayTeamScore
Pho,Misg M,03/03/2025,20:30,BV,-,-
Cerv,G09,04/03/2025,20:30,BV,-,-
Vets,Cerv,10/03/2025,20:30,Gezer,-,-
Pho,Nomads,10/03/2025,20:30,BV,-,-
Pent,Dim M,11/03/2025,20:40,Gezer,-,-
G09,Sox,12/03/2025,20:30,Gezer,-,-
Pent,Cerv,17/03/2025,20:30,Gezer,-,-
Misg M,Dim M,18/03/2025,20:30,Maor,-,-
Pho,Vets,18/03/2025,20:30,BV,-,-
Nomads,G09,21/03/2025,10:00,Maor,-,-
Dim M,Sox,23/03/2025,20:30,Gezer,-,-
Dim W,TB,24/03/2025,19:30,BV,-,-
Pent,Vets,24/03/2025,20:30,Gezer,-,-
Misg M,Cerv,25/03/2025,20:30,Maor,-,-
G09,Pho,25/03/2025,20:30,Gezer,-,-
Nomads,Pent,28/03/2025,10:00,Maor,-,-
Dim W,FB,30/03/2025,19:30,Gezer,-,-
Cerv,Pho,31/03/2025,21:00,BV,-,-
Dim M,Vets,31/03/2025,20:30,Gezer,-,-
FB,Misg W,02/04/2025,19:30,BV,-,-
Nomads,Sox,04/04/2025,09:00,Maor,-,-
Sox,Nomads,04/04/2025,11:00,Maor,-,-
G09,Misg M,05/04/2025,18:00,Gezer,-,-
TB,Misg W,07/04/2025,19:30,BV,-,-
Sox,Cerv,07/04/2025,20:30,Gezer,-,-
Dim M,Pho,08/04/2025,20:30,Gezer,-,-
Misg M,Pent,08/04/2025,20:30,Maor,-,-
FB,Dim W,08/04/2025,19:30,BV,-,-
G09,Vets,10/04/2025,20:30,Gezer,-,-
Pho,Cerv,11/04/2025,10:00,BV,-,-
Dim W,Misg W,15/04/2025,19:30,Gezer,-,-
Dim M,G09,16/04/2025,20:30,Gezer,-,-
Misg M,Pho,21/04/2025,20:30,Maor,-,-
Sox,Pent,21/04/2025,20:30,Gezer,-,-
Vets,Nomads,22/04/2025,20:30,Gezer,-,-
Cerv,G09,22/04/2025,20:30,BV,-,-
Misg W,Dim W,25/04/2025,10:00,Maor,-,-
Dim W,Misg W,25/04/2025,12:00,Maor,-,-
TB,FB,25/04/2025,10:00,BV,-,-
FB,TB,25/04/2025,12:00,BV,-,-
Pent,Pho,25/04/2025,10:00,Gezer,-,-
Vets,Misg M,27/04/2025,18:00,Gezer,-,-
Sox,Misg M,27/04/2025,20:30,Gezer,-,-
Cerv,Dim M,28/04/2025,20:30,BV,-,-
G09,Pent,28/04/2025,20:30,Gezer,-,-
Nomads,Dim M,02/05/2025,10:00,BV,-,-
Dim M,Nomads,02/05/2025,12:00,BV,-,-
Sox,Vets,04/05/2025,10:00,Gezer,-,-
Cerv,Misg M,05/05/2025,20:30,BV,-,-
Misg W,TB,05/05/2025,19:30,Maor,-,-
Pho,G09,06/05/2025,20:30,BV,-,-
Cerv,Nomads,07/05/2025,20:30,BV,-,-
FB,Misg W,09/05/2025,10:00,BV,-,-
Misg W,FB,09/05/2025,12:00,BV,-,-
Dim W,TB,09/05/2025,09:00,Gezer,-,-
TB,Dim W,09/05/2025,11:00,Gezer,-,-
G09,Misg M,10/05/2025,18:00,Gezer,-,-
Nomads,Vets,12/05/2025,20:30,Maor,-,-
Dim M,Pent,12/05/2025,20:30,Gezer,-,-
Misg M,Pho,13/05/2025,20:30,Maor,-,-
G09,Cerv,15/05/2025,20:30,Gezer,-,-
Vets,Pent,16/05/2025,10:00,Gezer,-,-
Pho,Sox,16/05/2025,10:00,BV,-,-
FB,TB,19/05/2025,19:30,BV,-,-
Vets,Sox,19/05/2025,20:30,Gezer,-,-
Misg W,Dim W,20/05/2025,19:30,BV,-,-
Nomads,Misg M,23/05/2025,12:30,Maor,-,-
TB,FB,26/05/2025,19:30,BV,-,-
Cerv,Pho,27/05/2025,21:00,BV,-,-
Misg M,G09,27/05/2025,20:30,Maor,-,-
Pent,Sox,28/05/2025,20:30,Gezer,-,-
Sox,Dim M,03/06/2025,20:30,Gezer,-,-
Misg M,Cerv,03/06/2025,20:30,Maor,-,-
Pent,Nomads,04/06/2025,20:30,Gezer,-,-
Vets,Dim M,05/06/2025,20:30,Gezer,-,-
Pho,G09,06/06/2025,10:00,BV,-,-
Misg W,TB,06/06/2025,10:00,Maor,-,-
TB,Misg W,06/06/2025,12:00,Maor,-,-
FB,Dim W,06/06/2025,09:00,Gezer,-,-
Dim W,FB,06/06/2025,11:00,Gezer,-,-
TB,Dim W,09/06/2025,19:30,BV,-,-
Misg W,FB,10/06/2025,19:30,Maor,-,-
